"Frequency / Hz","Vm1:Measured voltage"
4850,4.1839432987510853e-06
4900,8.0747373593430042e-11
4950,3.9396195494482541e-06
5000,8.3867595488001734e-11
5050,3.7147496951718788e-06
5100,6.80430041444857e-11
5150,3.5071001227555276e-06
5200,7.7502706569276039e-11
5250,3.3152280028881439e-06
5300,7.7461713109888615e-11
5350,3.1378958286298149e-06
5400,6.4190052851004207e-11
5450,2.9734363966743065e-06
5500,7.3805312711932093e-11
5550,2.8208699372313599e-06
5600,7.0513919571538251e-11
5650,2.6793598759420238e-06
5700,6.1242219836486002e-11
5750,2.5476244068106988e-06
5800,7.0185526258226537e-11
5850,2.4249979278564323e-06
5900,6.5135162097917692e-11
5950,2.3109132328473907e-06
6000,5.8501829953452894e-11
6050,2.2043567415394309e-06
6100,6.7151423711222049e-11
6150,2.1048790409223475e-06
6200,6.0835097214910105e-11
6250,2.012090689671469e-06
6300,5.7082686722323939e-11
6350,1.9251809404729973e-06
6400,6.4076188659565977e-11
6450,1.8438428068337151e-06
6500,5.6303096760356858e-11
6550,1.7678246495704223e-06
6600,5.5025620392270522e-11
6650,1.6964447623284194e-06
6700,6.0067315420096276e-11
6750,1.629510327783415e-06
6800,5.2019830707230891e-11
6850,1.566854716381863e-06
6900,5.345038413705561e-11
6950,1.5079055999616131e-06
7000,5.7785689343190232e-11
7050,1.4525431422832367e-06
7100,4.9741029288834914e-11
7150,1.400669628315399e-06
7200,5.2244177538614629e-11
7250,1.3517864974930741e-06
7300,5.4748217726802442e-11
7350,1.305834243130847e-06
7400,4.7583322750151089e-11
7450,1.262757832900131e-06
7500,5.0476935213580934e-11
7550,1.222123116355319e-06
7600,5.1803958538014228e-11
7650,1.1839111491461542e-06
7700,4.5124802784474216e-11
7750,1.1480993569585112e-06
7800,4.8566816798593506e-11
7850,1.114303596238913e-06
7900,4.9728695720619195e-11
7950,1.0825320547859543e-06
8000,4.371142026419117e-11
8050,1.0527907698496342e-06
8100,4.7562938347953025e-11
8150,1.0247306971271396e-06
8200,4.7389952017063575e-11
8250,9.9838711476880384e-07
8300,4.1744363864596002e-11
8350,9.7378124537915264e-07
8400,4.682117342488035e-11
8450,9.5059516908464887e-07
8500,4.3620092855174261e-11
8550,9.2888327121604041e-07
8600,4.1591527430067238e-11
8650,9.086773399555521e-07
8700,4.4925371534393337e-11
8750,8.8968966826749082e-07
8800,4.202179089468922e-11
8850,8.7198590375034242e-07
8900,3.9806285113863063e-11
8950,8.5560969322759883e-07
9000,4.3839536649853256e-11
9050,8.4029191144322715e-07
9100,4.1283651059122333e-11
9150,8.261124984884364e-07
9200,3.8675100643713456e-11
9250,8.1311816253226038e-07
9300,4.164581207795675e-11
9350,8.0106397828333763e-07
9400,3.8796595564662874e-11
9450,7.9003553477612888e-07
9500,3.8860115838925993e-11
9550,7.8008614685205955e-07
9600,4.0480000093154346e-11
9650,7.7098581465914188e-07
9700,3.6278556715627413e-11
9750,7.6282899229208021e-07
9800,3.7736949779393277e-11
9850,7.5567388339762558e-07
9900,3.8913611583844383e-11
9950,7.4930647147274046e-07
10000,3.4885430531706457e-11
10050,7.4382438859933969e-07
10100,3.7821610498369182e-11
10150,7.3929152500152966e-07
10200,3.7637542975964835e-11
10250,7.3550590847600301e-07
10300,3.3863127458580009e-11
10350,7.3257348586035449e-07
10400,3.6378223730142998e-11
10450,7.3055943472770184e-07
10500,3.6856206126568065e-11
10550,7.292776521364788e-07
10600,3.3520002983857861e-11
10650,7.2883662718267102e-07
10700,3.5715583840267725e-11
10750,7.2930668483461221e-07
10800,3.4529405713621389e-11
10850,7.3051036117649841e-07
10900,3.3230248735847865e-11
10950,7.325684069957148e-07
11000,3.4883726165758198e-11
11050,7.3554942291547926e-07
11100,3.4202184539482616e-11
11150,7.3929296160202787e-07
11200,3.1929322953775638e-11
11250,7.4392231266657907e-07
11300,3.317000952579287e-11
11350,7.4951230908156594e-07
11400,3.1692147378308049e-11
