"Time","3ph Meter:Measured voltage:1","3ph Meter:Measured voltage:2","3ph Meter:Measured voltage:3"
0,0,0,0
9.9999999999999995e-07,0,0,0
5.9999999999999993e-06,0,0,0
7.6554916042315579e-06,0,0,0
7.6554916042324388e-06,0,100,-100
2.5158071177447429e-05,0,100,-100
2.5158071177449113e-05,-100,100,0
4.2186458145164769e-05,-100,100,0
4.2186458145166192e-05,0,0,0
4.9999999999998579e-05,0,0,0
5.0000000000000002e-05,0,0,0
5.7864129222314483e-05,0,0,0
5.7864129222317329e-05,-100,100,0
7.4531746018306546e-05,-100,100,0
7.4531746018309392e-05,0,100,-100
9.26040620253602e-05,0,100,-100
9.2604062025363046e-05,0,0,0
9.9999999999997159e-05,0,0,0
0.0001,0,0,0
0.00010735214855407387,0,0,0
0.00010735214855407812,0,100,-100
0.00012579015716723287,0,100,-100
0.00012579015716723715,-100,100,0
0.00014185779868070437,-100,100,0
0.00014185779868070865,0,0,0
0.00014999999999999576,0,0,0
0.00015000000000000001,0,0,0
0.00015819766654951535,0,0,0
0.00015819766654952104,-100,100,0
0.00017390784828977957,-100,100,0
0.00017390784828978526,0,100,-100
0.00019289433932267216,0,100,-100
0.00019289433932267785,0,0,0
0.00019999999999999432,0,0,0
0.00020000000000000001,0,0,0
0.00020706606829728495,0,0,0
0.00020706606829729206,0,100,-100
0.00022642144849871823,0,100,-100
0.00022642144849872533,-100,100,0
0.00024151267015449392,-100,100,0
0.00024151267015450103,0,0,0
0.0002499999999999929,0,0,0
0.00025000000000000001,0,0,0
0.00025854795639198501,0,0,0
0.00025854795639199357,-100,100,0
0.000273285008355328,-100,100,0
0.00027328500835533656,0,100,-100
0.00029316680760510256,0,100,-100
0.00029316680760511113,0,0,0
0.00029999999999999152,0,0,0
0.00030000000000000003,0,0,0
0.00030679753986042593,0,0,0
0.00030679753986043591,0,100,-100
0.00032705131033180281,0,100,-100
0.00032705131033181279,-100,100,0
0.00034115141764736134,-100,100,0
0.00034115141764737132,0,0,0
0.00034999999999999002,0,0,0
0.00035,0,0,0
0.00035891465763062162,0,0,0
0.000358914657630633,-100,100,0
0.00037266382952933142,-100,100,0
0.00037266382952934281,0,100,-100
0.00039342120540353291,0,100,-100
0.0003934212054035443,0,0,0
0.00039999999999998864,0,0,0
0.00040000000000000002,0,0,0
0.0004065468355300504,0,0,0
0.00040654683553006319,0,100,-100
0.00042767910934501534,0,100,-100
0.00042767910934502813,-100,100,0
0.00044077440147626744,-100,100,0
0.00044077440147628023,0,0,0
0.00044999999999998725,0,0,0
0.00045000000000000004,0,0,0
0.00045929741225596797,0,0,0
0.00045929741225598218,-100,100,0
0.00047204491360785524,-100,100,0
0.00047204491360786945,0,100,-100
0.00049365728963955365,0,100,-100
0.00049365728963956797,0,0,0
0.00049999999999998581,0,0,0
0.00050000000000000001,0,0,0
0.00050631421055629604,0,0,0
0.00050631421055631165,0,100,-100
0.00052830421440784538,0,100,-100
0.00052830421440786099,-100,100,0
0.00054038199682466658,-100,100,0
0.00054038199682468219,0,0,0
0.00054999999999998442,0,0,0
0.00055000000000000003,0,0,0
0.00055969584570522528,0,0,0
0.00055969584570524241,-100,100,0
0.0005714288603180513,-100,100,0
0.00057142886031806843,0,100,-100
0.00059387483583281473,0,100,-100
0.00059387483583283186,0,0,0
0.00059999999999998303,0,0,0
0.00060000000000000006,0,0,0
0.00060609990287106754,0,0,0
0.00060609990287108597,0,100,-100
0.00062892599725037301,0,100,-100
0.00062892599725039144,-100,100,0
0.00063997459336102326,-100,100,0
0.00063997459336104169,0,0,0
0.00064999999999998165,0,0,0
0.00065000000000000008,0,0,0
0.00066010956721826919,0,0,0
0.00066010956721828913,-100,100,0
0.0006708162667690505,-100,100,0
0.00067081626676907045,0,100,-100
0.00069407363828799193,0,100,-100
0.00069407363828801188,0,0,0
0.00069999999999998004,0,0,0
0.00069999999999999999,0,0,0
0.00070590413282125165,0,0,0
0.0007059041328212729,0,100,-100
0.00072954383312906403,0,100,-100
0.00072954383312908528,-100,100,0
0.00073955259484562391,-100,100,0
0.00073955259484564516,0,0,0
0.00074999999999997866,0,0,0
0.00075000000000000002,0,0,0
0.00076053817021271746,0,0,0
0.00076053817021274023,-100,100,0
0.00077020772690458987,-100,100,0
0.00077020772690461264,0,100,-100
0.00079425351026134118,0,100,-100
0.00079425351026136395,0,0,0
0.00079999999999997727,0,0,0
0.00080000000000000004,0,0,0
0.00080572710291722791,0,0,0
0.00080572710291725198,0,100,-100
0.0008301571014882258,0,100,-100
0.00083015710148824987,-100,100,0
0.0008391164187262711,-100,100,0
0.00083911641872629517,0,0,0
0.00084999999999997588,0,0,0
0.00085000000000000006,0,0,0
0.0008609812326774534,0,0,0
0.00086098123267747898,-100,100,0
0.00086960383095791602,-100,100,0
0.0008696038309579416,0,100,-100
0.00089441428410675988,0,100,-100
0.00089441428410678547,0,0,0
0.0008999999999999745,0,0,0
0.00090000000000000008,0,0,0
0.00090556899759713222,0,0,0
0.00090556899759715933,0,100,-100
0.00093076518661606446,0,100,-100
0.00093076518661609157,-100,100,0
0.00093866649572335679,-100,100,0
0.00093866649572338389,0,0,0
0.000949999999999973,0,0,0
0.00095,0,0,0
0.00096143831758440745,0,0,0
0.00096143831758443586,-100,100,0
0.00096900516490914938,-100,100,0
0.00096900516490917778,0,100,-100
0.00099455581140152046,0,100,-100
0.00099455581140154908,0,0,0
0.00099999999999997161,0,0,0
0.001,0,0,0
0.0010054299830073708,0,0,0
0.0010054299830074007,0,100,-100
0.0010313674782944202,0,100,-100
