"Time","3ph Meter:Measured voltage:1","3ph Meter:Measured voltage:2","3ph Meter:Measured voltage:3"
0,0,0,0
9.9999999999999995e-07,0,0,0
5.9999999999999993e-06,0,0,0
1.1981480338266076e-05,0,0,0
1.1981480338266957e-05,0,100,-100
2.5118366284017618e-05,0,100,-100
2.5118366284019194e-05,-100,100,0
3.7900162206311621e-05,-100,100,0
3.7900162206313044e-05,0,0,0
4.9999999999998579e-05,0,0,0
5.0000000000000002e-05,0,0,0
6.2158543988946306e-05,0,0,0
6.2158543988949152e-05,-100,100,0
7.4648260602428953e-05,-100,100,0
7.4648260602432735e-05,0,100,-100
8.8193168942443803e-05,0,100,-100
8.8193168942446649e-05,0,0,0
9.9999999999997159e-05,0,0,0
0.0001,0,0,0
0.00011175436328977874,0,0,0
0.000111754363289783,0,100,-100
0.00012559168331851262,0,100,-100
0.00012559168331851691,-100,100,0
0.00013765399743672035,-100,100,0
0.00013765399743672464,0,0,0
0.00014999999999999576,0,0,0
0.00015000000000000001,0,0,0
0.00016240902528395643,0,0,0
0.00016240902528396212,-100,100,0
0.0001741796074960768,-100,100,0
0.00017417960749608249,0,100,-100
0.00018841130569392995,0,100,-100
0.00018841130569393564,0,0,0
0.00019999999999999432,0,0,0
0.00020000000000000001,0,0,0
0.00021154023177134964,0,0,0
0.00021154023177135674,0,100,-100
0.0002260644081089506,0,100,-100
0.0002260644081089577,-100,100,0
0.00023739543899018505,-100,100,0
0.00023739543899019215,0,0,0
0.0002499999999999929,0,0,0
0.00025000000000000001,0,0,0
0.00026267202828742436,0,0,0
0.00026267202828743292,-100,100,0
0.00027371175269973787,-100,100,0
0.00027371175269974644,0,100,-100
0.0002886161229730572,0,100,-100
0.00028861612297306576,0,0,0
0.00029999999999999152,0,0,0
0.00030000000000000003,0,0,0
0.00031133930090393956,0,0,0
0.00031133930090394954,0,100,-100
0.00032653606750889723,0,100,-100
0.0003265360675089072,-100,100,0
0.00033712474458305949,-100,100,0
0.00033712474458306947,0,0,0
0.00034999999999999002,0,0,0
0.00035,0,0,0
0.00036294729598960004,0,0,0
0.00036294729598961142,-100,100,0
0.00037324515151371273,-100,100,0
0.00037324515151372412,0,100,-100
0.00038880742279560979,0,100,-100
0.00038880742279562118,0,0,0
0.00039999999999998864,0,0,0
0.00040000000000000002,0,0,0
0.00041115177310763147,0,0,0
0.00041115177310764426,0,100,-100
0.00042700618948338505,0,100,-100
0.00042700618948339784,-100,100,0
0.00043684218352732431,-100,100,0
0.0004368421835273371,0,0,0
0.00044999999999998725,0,0,0
0.00045000000000000004,0,0,0
0.00046323455888713007,0,0,0
0.00046323455888714428,-100,100,0
0.00047278025806993999,-100,100,0
0.0004727802580699542,0,100,-100
0.00048898502083179521,0,100,-100
0.00048898502083180953,0,0,0
0.00049999999999998581,0,0,0
0.00050000000000000001,0,0,0
0.00051097783788604226,0,0,0
0.00051097783788605787,0,100,-100
0.0005274743036010886,0,100,-100
0.00052747430360110422,-100,100,0
0.00053654803645670189,-100,100,0
0.0005365480364567175,0,0,0
0.00054999999999998442,0,0,0
0.00055000000000000003,0,0,0
0.00056353353524007097,0,0,0
0.0005635335352400881,-100,100,0
0.00057231752490840334,-100,100,0
0.00057231752490842047,0,100,-100
0.00058914874657013878,0,100,-100
0.00058914874657015591,0,0,0
0.00059999999999998303,0,0,0
0.00060000000000000006,0,0,0
0.00061081767162224907,0,0,0
0.0006108176716222675,0,100,-100
0.00062793994152461272,0,100,-100
0.00062793994152463115,-100,100,0
0.00063624259504303836,-100,100,0
0.00063624259504305679,0,0,0
0.00064999999999998165,0,0,0
0.00065000000000000008,0,0,0
0.00066384393134257262,0,0,0
0.00066384393134259257,-100,100,0
0.00067185740255481954,-100,100,0
0.00067185740255483949,0,100,-100
0.00068929844346653007,0,100,-100
0.00068929844346655002,0,0,0
0.00069999999999998004,0,0,0
0.00069999999999999999,0,0,0
0.00071067143738639269,0,0,0
0.00071067143738641394,0,100,-100
0.00072840263749818874,0,100,-100
0.00072840263749820999,-100,100,0
0.00073592616170345057,-100,100,0
0.00073592616170347182,0,0,0
0.00074999999999997866,0,0,0
0.00075000000000000002,0,0,0
0.00076416544180703608,0,0,0
0.00076416544180705885,-100,100,0
0.00077140033909984173,-100,100,0
0.0007714003390998645,0,100,-100
0.00078943396907848323,0,100,-100
0.000789433969078506,0,0,0
0.00079999999999997727,0,0,0
0.00080000000000000004,0,0,0
0.00081053928475546496,0,0,0
0.00081053928475548903,0,100,-100
0.00082886192883233599,0,100,-100
0.00082886192883236006,-100,100,0
0.00083559904929838733,-100,100,0
0.0008355990492984114,0,0,0
0.00084999999999997588,0,0,0
0.00085000000000000006,0,0,0
0.00086449774986135431,0,0,0
0.0008644977498613799,-100,100,0
0.00087094677978014653,-100,100,0
0.00087094677978017212,0,100,-100
0.00088955519518448109,0,100,-100
0.00088955519518450668,0,0,0
0.0008999999999999745,0,0,0
0.00090000000000000008,0,0,0
0.00091042134964524864,0,0,0
0.00091042134964527575,0,100,-100
0.00092931735638480278,0,100,-100
0.00092931735638482988,-100,100,0
0.0009352615808208922,-100,100,0
0.0009352615808209193,0,0,0
0.000949999999999973,0,0,0
0.00095,0,0,0
0.00096484052765915867,0,0,0
0.00096484052765918708,-100,100,0
0.00097049716656163424,-100,100,0
0.00097049716656166264,0,100,-100
0.00098966200788824983,0,100,-100
0.00098966200788827845,0,0,0
0.00099999999999997161,0,0,0
0.001,0,0,0
