"Time","Vm1:Measured voltage"
0,0
4.0402548057018539e-21,4.0402548057018372e-13
2.0547608999593812e-09,0.20505462151083828
2.0547608999631532e-09,0.2050546215112139
1.5833863416294251e-07,13.571692022565898
3.1448518327012458e-07,23.342954328654343
5.2544531299980923e-07,32.518620121187141
8.1286347645139333e-07,40.161289985798739
1.1885003819768758e-06,45.357706468043496
1.6710246313412377e-06,48.229768390601237
2.2910744657020175e-06,49.484616901996723
3.0327531977613178e-06,49.880188272700238
3.9683986695989871e-06,49.978587578368433
5.1912059444056643e-06,49.995180230788215
6.8590944792619984e-06,49.994915127860658
9.0010059630260315e-06,49.974069966665837
1.0478249236106334e-05,49.986540715342834
1.1955492509186637e-05,49.993013802136396
1.3734892658987504e-05,49.989003866323969
1.5701261728515496e-05,49.967488530579871
1.7464602339978053e-05,49.951642277753237
1.8912716670670909e-05,49.977463608727788
2.0294835129866532e-05,49.991721661406999
2.1916570796895753e-05,49.992631327195951
2.384801085908813e-05,49.980556804011741
2.5197901790929429e-05,49.992360579195747
2.5197901790930161e-05,-49.99236057919564
2.6778796578515067e-05,-49.99415840479967
2.8749868107462623e-05,-49.9824643876089
3.075011116063952e-05,-49.942204701745965
3.2351138756161762e-05,-49.952362467019277
3.3663412430628372e-05,-49.986163027882128
3.5070508137477267e-05,-49.994445515104829
3.6853553925659032e-05,-49.991144807733662
3.8911464963467028e-05,-49.965020600668872
4.0329752564408143e-05,-49.985380319872434
4.1748040165349258e-05,-49.993889687898609
4.3509423880237103e-05,-49.990974156874522
4.5532827840994306e-05,-49.967989341981081
4.6976646411580918e-05,-49.985315598525013
4.842046498216753e-05,-49.993263754635997
4.9999999999998579e-05,-49.994875111036507
5.0000000000000002e-05,-49.994875111036521
5.1754965701595357e-05,-49.992599904103152
5.3852155641229335e-05,-49.96702077467576
5.527885520531584e-05,-49.985789043091344
5.6705554769402346e-05,-49.993876408730827
5.847533820240989e-05,-49.990682234767966
6.0496164628645743e-05,-49.967221247231912
6.1934735028636962e-05,-49.985249868412239
6.3373305428628181e-05,-49.99336257900368
6.5127699311039064e-05,-49.990435296376013
6.7119288210087881e-05,-49.969333760609423
6.892815123784671e-05,-49.946505066436664
7.0386660347873808e-05,-49.974095463678992
7.173963394304091e-05,-49.991396417978194
7.3321884586881404e-05,-49.993387768679391
7.4415594524908645e-05,-50.00872861235559
7.4415594524910786e-05,50.008728612355519
7.6375618405197249e-05,50.025282685308639
7.8223657265762283e-05,50.050464235770121
7.9734066278816371e-05,50.029643278990257
8.1095636512504063e-05,50.010138636231304
8.2634673680768257e-05,50.006629165218563
8.4505889499222981e-05,50.014314052884977
8.6475506210004037e-05,50.042767508264539
8.814810926517301e-05,50.045904193582231
8.9531900224188333e-05,50.016961523171346
9.0938604488435831e-05,50.006799191665372
9.2650953421476821e-05,50.008430154458324
9.4641832798026304e-05,50.026967458178817
9.6497491794316542e-05,50.055241435651638
9.7987452576061678e-05,50.03006385772607
9.9327556229653651e-05,50.009561707959413
9.9999999999997159e-05,50.002520094376436
0.0001,50.002520094376422
0.00010153838264156565,50.001643734653399
0.0001040105321175783,50.020974249361792
0.00010549346665100647,50.011119852410381
0.00010697640118443463,50.005895377493438
0.00010882438356801859,50.011764906827594
0.00011084538947524344,50.041410914802931
0.0001122299107185621,50.015340646930689
0.00011361443196188076,50.005682932854093
0.000115365802576356,50.008101861724683
0.00011742131978475412,50.031766976449092
0.00011886283419553993,50.014449915390934
0.00012030434860632574,50.006572865224996
0.00012206583481490009,50.009712623500867
0.00012406038126650128,50.031435904134838
0.00012586362687940178,50.053778320388609
0.00012598925897819915,50.0387839141207
0.00012598925897820278,-50.038783914120238
0.00012734201043555763,-50.012871452056203
0.00012880195062077172,-50.006265959460471
0.00013060108554924213,-50.010567135698167
0.00013260725237351881,-50.035489795561574
0.00013437838822077082,-50.054259893379211
0.0001358005700691532,-50.023000278360726
0.00013715534224511004,-50.007685858625791
0.0001387757407090612,-50.006807488225199
0.00014073682287564363,-50.019785826180829
0.00014267909807346102,-50.054093734718627
0.00014425098302794128,-50.039994850539678
0.000145585114792185,-50.012470554923262
0.00014703910073426393,-50.005938784400556
0.000148850818565207,-50.010462774253831
0.00014999999999999576,-50.002022178652098
0.00015000000000000001,-50.002022178652084
0.00015202527141664276,-50.007214038953421
0.00015386027863365569,-50.013771686808809
0.00015569528585066862,-50.026290315145822
0.00015740304490136656,-50.032061520343071
0.00015892284891554092,-50.019507026325364
0.00016041226159161696,-50.010594573447591
0.00016206262124804496,-50.010481306230886
0.00016389609744188807,-50.019904132200097
0.00016569997241474516,-50.03412515121439
0.00016729134408567886,-50.0271341484763
0.00016875126365537539,-50.013208184843172
0.00017030110402044003,-50.008992670403529
0.00017207392476661373,-50.013830607522657
0.00017363693494080798,-50.025051726976926
0.00017363693494081291,50.025051726977267
0.0001753371870638156,50.029733176354078
0.00017687290034936593,50.019200620435058
0.00017838239737203495,50.011240270566717
0.00018003445096280061,50.011189565223262
0.00018184604553607268,50.019705029255199
0.0001836303353764629,50.031551863079351
0.00018522801753398499,50.025684710810644
0.00018671003516076122,50.013570792901994
0.00018827327390833173,50.009714585185627
0.00019003403626903287,50.014318385595452
0.00019187880418520178,50.028262309809953
0.00019357169216035699,50.032660346215714
0.00019507193425062906,50.018469786708621
0.00019655893380842205,50.009941428866512
0.00019822785733395623,50.01052801900218
0.00019999999999999432,50.016153338520972
0.00020000000000000001,50.016153338520787
0.00020185342613225914,50.032839039494029
0.00020350457204841566,50.032582010015034
0.0002049666777948544,50.015988801486564
