time	V(gate)	V(n002)
2.158675953201401e-007	1.079396e+001	1.000000e+001
2.353988453201401e-007	1.078205e+001	1.000000e+001
2.549300953201401e-007	1.077043e+001	1.000000e+001
2.744613453201401e-007	1.075914e+001	1.000000e+001
2.939925953201401e-007	1.074818e+001	1.000000e+001
3.135238453201401e-007	1.073758e+001	1.000000e+001
3.330550953201401e-007	1.072736e+001	1.000000e+001
3.525863453201401e-007	1.071753e+001	1.000000e+001
3.721175953201401e-007	1.070810e+001	1.000000e+001
3.916488453201401e-007	1.069909e+001	1.000000e+001
4.111800953201401e-007	1.069050e+001	1.000000e+001
4.307113453201401e-007	1.068234e+001	1.000000e+001
4.502425953201401e-007	1.067460e+001	1.000000e+001
4.697738453201401e-007	1.066729e+001	1.000000e+001
4.893050953201401e-007	1.066041e+001	1.000000e+001
5.088363453201400e-007	1.065395e+001	1.000000e+001
5.283675953201401e-007	1.064791e+001	1.000000e+001
5.478988453201400e-007	1.064228e+001	1.000000e+001
5.674300953201401e-007	1.063705e+001	1.000000e+001
5.869613453201400e-007	1.063221e+001	1.000000e+001
6.064925953201401e-007	1.062775e+001	1.000000e+001
6.260238453201400e-007	1.062366e+001	1.000000e+001
6.455550953201401e-007	1.061992e+001	1.000000e+001
6.650863453201400e-007	1.061652e+001	1.000000e+001
6.846175953201401e-007	1.061344e+001	1.000000e+001
7.041488453201400e-007	1.061066e+001	1.000000e+001
7.236800953201401e-007	1.060818e+001	1.000000e+001
7.432113453201400e-007	1.060596e+001	1.000000e+001
7.627425953201401e-007	1.060401e+001	1.000000e+001
7.822738453201400e-007	1.060229e+001	1.000000e+001
8.018050953201401e-007	1.060078e+001	1.000000e+001
8.213363453201400e-007	1.059948e+001	1.000000e+001
8.408675953201401e-007	1.059837e+001	1.000000e+001
8.603988453201400e-007	1.059741e+001	1.000000e+001
8.799300953201401e-007	1.059661e+001	1.000000e+001
8.994613453201401e-007	1.059593e+001	1.000000e+001
9.189925953201401e-007	1.059537e+001	1.000000e+001
9.385238453201401e-007	1.059491e+001	1.000000e+001
9.580550953201402e-007	1.059452e+001	1.000000e+001
9.775863453201400e-007	1.059421e+001	1.000000e+001
9.971175953201401e-007	1.059394e+001	1.000000e+001
1.016648845320140e-006	1.059372e+001	1.000000e+001
1.036180095320140e-006	1.059352e+001	1.000000e+001
1.055711345320140e-006	1.059334e+001	1.000000e+001
1.075242595320140e-006	1.059317e+001	1.000000e+001
1.094773845320140e-006	1.059299e+001	1.000000e+001
1.114305095320140e-006	1.059281e+001	1.000000e+001
1.133836345320140e-006	1.059261e+001	1.000000e+001
1.153367595320140e-006	1.059239e+001	1.000000e+001
1.172898845320140e-006	1.059216e+001	1.000000e+001
1.192430095320140e-006	1.059190e+001	1.000000e+001
1.211961345320140e-006	1.059162e+001	1.000000e+001
1.231492595320140e-006	1.059132e+001	1.000000e+001
1.251023845320140e-006	1.059100e+001	1.000000e+001
1.270555095320140e-006	1.059066e+001	1.000000e+001
