time	V(gate)	V(n002)
5.001241840203093e-006	9.888106e+000	1.000000e+001
5.010000000000000e-006	9.888045e+000	1.000000e+001
5.010019267732245e-006	9.887195e+000	9.980732e+000
5.010057803196734e-006	9.885283e+000	9.942197e+000
5.010134874125712e-006	9.881535e+000	9.865126e+000
5.010216013864227e-006	9.878149e+000	9.783986e+000
5.010312100186790e-006	9.874863e+000	9.687900e+000
5.010411039488437e-006	9.872130e+000	9.588961e+000
5.010526635763482e-006	9.869625e+000	9.473364e+000
5.010675336561616e-006	9.867098e+000	9.324663e+000
5.010884406389207e-006	9.862799e+000	9.115594e+000
5.011017139309731e-006	9.857517e+000	8.982861e+000
5.011159624824370e-006	9.849694e+000	8.840375e+000
5.011307402570923e-006	9.841124e+000	8.692597e+000
5.011602958064029e-006	9.822645e+000	8.397042e+000
5.012126402663291e-006	9.787091e+000	7.873597e+000
5.012665124813683e-006	9.747149e+000	7.334875e+000
5.013620047203772e-006	9.668462e+000	6.379953e+000
5.015102900513832e-006	9.530087e+000	4.897099e+000
5.017045903787623e-006	9.317952e+000	2.954096e+000
5.020000000000000e-006	8.954927e+000	0.000000e+000
5.020015764634412e-006	8.953642e+000	0.000000e+000
5.020047293903235e-006	8.951325e+000	0.000000e+000
5.020110352440882e-006	8.946940e+000	0.000000e+000
5.020167193819531e-006	8.942877e+000	0.000000e+000
5.020234151533552e-006	8.937901e+000	0.000000e+000
5.020350320427541e-006	8.929048e+000	0.000000e+000
5.020530358988220e-006	8.915089e+000	0.000000e+000
5.020890436109577e-006	8.886951e+000	0.000000e+000
5.021294697724672e-006	8.855356e+000	0.000000e+000
5.022103220954859e-006	8.792423e+000	0.000000e+000
5.023720267415237e-006	8.667649e+000	0.000000e+000
5.026954360335990e-006	8.422460e+000	0.000000e+000
5.033422546177496e-006	7.949261e+000	0.000000e+000
5.046358917860509e-006	7.052217e+000	0.000000e+000
5.059287702789598e-006	6.210970e+000	0.000000e+000
5.067828084414769e-006	5.690509e+000	0.000000e+000
5.073991194778050e-006	5.334752e+000	0.000000e+000
5.083068198422480e-006	4.838799e+000	0.000000e+000
5.087091812714907e-006	4.629299e+000	0.000000e+000
5.091135802637628e-006	4.424460e+000	0.000000e+000
5.094632585408777e-006	4.251873e+000	0.000000e+000
5.097566931934734e-006	4.110394e+000	0.000000e+000
5.099948803208924e-006	3.997838e+000	0.000000e+000
5.101931738058229e-006	3.905754e+000	0.000000e+000
5.103653800737975e-006	3.827041e+000	0.000000e+000
5.105250671954686e-006	3.755220e+000	0.000000e+000
5.106974376677713e-006	3.679059e+000	0.000000e+000
5.108566354577650e-006	3.610239e+000	0.000000e+000
5.110338466599424e-006	3.535724e+000	0.000000e+000
5.112163990889341e-006	3.461554e+000	0.000000e+000
5.114732153770363e-006	3.361010e+000	0.000000e+000
