"Time","Vm1:Measured voltage"
0,0
3.260498601423972e-21,-2.6083988811391691e-12
6.0789616812166407e-21,-4.863169344973283e-12
9.3394602826407063e-21,0
1.1482251784701973e-07,0
4.1341847534640517e-07,0
7.8542588057347677e-07,0
1.2295398052672862e-06,0
1.7544803788023021e-06,0
2.3817271721441323e-06,0
3.1479008221557412e-06,0
4.1147527366527978e-06,0
5.3880592516159274e-06,0
7.1283725086804368e-06,0
9.2997443403884167e-06,0
1.0715730758222065e-05,0
1.2131717176055713e-05,0
1.3916137131598723e-05,0
1.5964186626998047e-05,0
1.738437900068269e-05,0
1.8804571374367333e-05,0
2.0564034443543126e-05,0
2.2583251961606561e-05,0
2.4029708979028168e-05,0
2.5476165996449775e-05,0
2.723027268899131e-05,0
2.921178899892376e-05,0
3.1013544929563498e-05,0
3.2475353295126454e-05,0
3.3836655433609953e-05,0
3.5423871321872417e-05,0
3.7344227925490188e-05,0
3.9294593343904405e-05,0
4.0908041455871337e-05,0
4.2265408682006981e-05,0
4.3702135417413153e-05,0
4.547243563145833e-05,0
4.7481192266283774e-05,0
4.8923004991569331e-05,0
4.9999999999998579e-05,0
5.0000000000000002e-05,0
5.144181272528556e-05,0
5.3918239101927901e-05,0
5.5472070721305121e-05,0
5.7025902340682341e-05,0
5.8874859693920062e-05,0
6.08068167570347e-05,0
6.2474785483853333e-05,0
6.3884559310670099e-05,0
6.5317782923242403e-05,0
6.7030363648050149e-05,0
6.8989214578640012e-05,0
7.0820346378290162e-05,0
7.232024957975126e-05,0
7.3687341117890229e-05,0
7.5242114407178103e-05,0
7.7123309535443636e-05,0
7.9081576690103031e-05,0
8.073680877276986e-05,0
8.2117280230495899e-05,0
8.3536569855672749e-05,0
8.5265272139858165e-05,0
8.7256440753688747e-05,0
8.9093670826126102e-05,0
9.0571246480688667e-05,0
9.191637600207063e-05,0
9.3471903480077346e-05,0
9.5377629589482685e-05,0
9.7355749089618885e-05,0
9.8453738858688371e-05,0
9.845373885869119e-05,400.00606773942025
9.8453739385518659e-05,400.00606773302695
9.8453739385521505e-05,400.0060677330269
9.9999999999997159e-05,400.00407616595754
0.0001,400.00407616595754
0.00010159558883911785,399.80448913869816
0.00010159558883912078,0
0.00010297764628177233,0
0.00010435970372442389,0
0.00010630936970958364,0
0.00010808855230273772,0
0.0001098677348958918,0
0.00011156654057750327,0
0.00011313085777311543,0
0.00011466522769992451,0
0.00011630954441142202,0
0.00011808548062999173,0
0.00011984947969895367,0
0.00012146634535282357,0
0.00012298162686191362,0
0.00012455488152511416,0
0.000126287779774338,0
0.00012809676081181699,0
0.00012979128436309777,0
0.00013132474198662797,0
0.0001328377709414826,0
0.00013449547197894344,0
0.00013630809275860792,0
0.00013808685393083801,0
0.00013967949320400983,0
0.00014116253635912794,0
0.00014273174720963599,0
0.00014449697545034656,0
0.00014633851112651878,0
0.00014802439498714471,0
0.00014952232630254732,0
0.00014999999999999576,0
0.00015000000000000001,0
0.00015149158736974978,0
0.00015351977272478806,0
0.00015517608894869724,0
0.00015683240517260641,0
0.00015856900828098867,0
0.00016028765912197529,0
0.00016190850017566978,0
0.00016346963727597954,0
0.00016507858871290975,0
0.0001667929168499942,0
0.00016854531165382382,0
0.0001702151341339133,0
0.00017178255677166587,0
0.00017334760287516835,0
0.00017501605083211787,0
0.00017677846722535025,0
0.00017850489529072452,0
0.00018010636243739111,0
0.00018164454364074438,0
0.00018325346229660708,0
0.00018499326663950713,0
0.00018676717207281025,0
0.00018842759523047205,0
0.00018996746577604296,0
0.00019151861962775799,0
0.00019320428549994559,0
0.00019499771484491786,0
0.00019673027803070143,0
0.0001969089340359202,0
0.00019690893403592584,399.87358832955454
0.00019842129195574235,399.92520111406941
0.00019999999999999432,399.94326895238657
0.00020000000000000001,399.9432689523872
0.00020171680552280076,399.9285225912318
0.00020318952649419234,399.91364893488469
0.00020318952649419814,0
0.0002050265157714041,0
0.00020681880929443794,0
0.00020839852102982599,0
0.00020985958395892916,0
0.00021142209332141864,0
0.00021320573786448211,0
0.00021507108705469928,0
0.00021675594799450514,0
0.00021823251222025293,0
0.00021970712844922801,0
0.00022138958991686284,0
0.00022327024367694632,0
0.00022507515467145786,0
0.0002266242147986303,0
0.0002280507510510937,0
0.00022961251371896995,0
0.00023143440468022209,0
0.00023333344800770207,0
0.00023500457792990226,0
0.00023644306354907656,0
0.00023789802971897934,0
0.00023960201744449434,0
0.00024152635437105493,0
0.00024334084929221372,0
0.00024485849656008345,0
0.0002462527887989383,0
0.00024781588018556454,0
0.00024967532288124532,0
0.0002499999999999929,0
0.00025000000000000001,0
0.00025192939077962602,0
0.00025381505785712622,0
0.00025537681566241194,0
0.00025674690941207941,0
0.00025824387990487142,0
0.00026006307424921105,0
0.00026204043980539203,0
0.00026377018532303549,0
0.00026518693226848121,0
0.00026657185624785588,0
0.0002682283657024415,0
0.00027019088962036345,0
0.00027209029068661541,0
0.00027363262831838658,0
0.00027497785702994948,0
0.00027647022787652002,0
0.00027831075151027375,0
0.00028031297941520747,0
0.00028203853114758064,0
0.00028343343590061951,0
0.00028480379455162879,0
0.00028646746175891463,0
0.00028845400270344782,0
0.00029036360501077257,0
0.00029189242073284264,0
0.00029322004782693161,0
0.00029470866230894279,0
0.00029536704067234271,0
0.00029536704067235117,400.07178977802488
0.00029738660324242624,400.25154329466915
0.00029883553036658518,400.11757910724691
0.00029999999999999152,400.02333751494314
0.00030000000000000003,400.02333751494274
0.00030144892712415897,400.01090867548623
0.00030387257987488922,400.1226222330136
0.0003047801637311539,399.97178676846249
